"country","iso3","nutrient_type","nutrient","nutrient_units","sex","mu","med","pdiff","pdiff_cap"
"Belgium","BEL","Mineral","Iodine","mg","Females",126.216303617687,8.93800448786183,1312.13068072514,500
"Belgium","BEL","Mineral","Iodine","mg","Males",156.948522014111,1.40044779349717,11107.0241206337,500
"Bulgaria","BGR","Fatty acid","Omega-3 fatty acids","g","Males",0.30196738914484,0.146918608452314,105.533793387956,105.533793387956
"Burkina Faso","BFA","Mineral","Iron","mg","Females",44.6763028117979,10.9447923465435,308.196897640612,308.196897640612
"Burkina Faso","BFA","Mineral","Iron","mg","Males",28.5909373742064,12.3310266036156,131.861776746335,131.861776746335
"Burkina Faso","BFA","Mineral","Zinc","mg","Females",20.5203328330705,9.02110251038104,127.470343114455,127.470343114455
"Burkina Faso","BFA","Other macronutrient","Carbohydrates","g","Females",626.751969063503,206.808498189279,203.059097934106,203.059097934106
"Burkina Faso","BFA","Other macronutrient","Energy","kcal","Females",3501.41688150515,1717.61136152945,103.853849591872,103.853849591872
"Burkina Faso","BFA","Other macronutrient","Protein","g","Females",162.75340132421,63.8495962153242,154.901222515716,154.901222515716
"Canada","CAN","Vitamin","Niacin","mg","Males",40.3352886584576,19.4153165211445,107.749838198775,107.749838198775
"Ethiopia","ETH","Mineral","Iron","mg","Females",36.7656369632584,10.9447923465435,235.918999640677,235.918999640677
"Kenya","KEN","Carotenoid","beta-Carotene","mcg","Females",20001.4447151652,2336.14340754426,756.173668558752,500
"Kenya","KEN","Carotenoid","beta-Carotene","mcg","Males",6314.01721149291,2043.23916842227,209.019977155607,209.019977155607
"Laos","LAO","Fatty acid","Omega-3 fatty acids","g","Females",0.388669045553097,0.120553296270334,222.40432868922,222.40432868922
"Laos","LAO","Fatty acid","Omega-3 fatty acids","g","Males",0.517445066935278,0.146918608452314,252.198453542544,252.198453542544
"Mexico","MEX","Mineral","Selenium","mg","Males",90.6513432044851,43.8842467502094,106.569213140368,106.569213140368
"Netherlands","NLD","Fatty acid","Omega-3 fatty acids","g","Females",43.6396461747982,0.120553296270334,36099.4632456492,500
"Netherlands","NLD","Fatty acid","Omega-3 fatty acids","g","Males",58.1916442199116,0.146918608452314,39508.0828922355,500
"Netherlands","NLD","Mineral","Iodine","mg","Females",145.353224716776,8.93800448786183,1526.23799209512,500
"Netherlands","NLD","Mineral","Iodine","mg","Males",182.569590895903,1.40044779349717,12936.5153020088,500
"Philippines","PHL","Fatty acid","Fat","g","Females",272.159467383623,59.5137173548007,357.30544062825,357.30544062825
"Philippines","PHL","Fatty acid","Omega-3 fatty acids","g","Females",6.15331701852532,0.120553296270334,5004.22958881759,500
"Philippines","PHL","Mineral","Calcium","mg","Females",3791.4919376249,708.947382979653,434.805830256337,434.805830256337
"Philippines","PHL","Mineral","Iron","mg","Females",88.5210878298623,10.9447923465435,708.796412275633,500
"Philippines","PHL","Mineral","Zinc","mg","Females",50.2234756791475,9.02110251038104,456.733233231224,456.733233231224
"Philippines","PHL","Other macronutrient","Carbohydrates","g","Females",2842.90512526512,206.808498189279,1274.65585319573,500
"Philippines","PHL","Other macronutrient","Energy","kcal","Females",15839.2264817107,1717.61136152945,822.165912293841,500
"Philippines","PHL","Other macronutrient","Protein","g","Females",492.806673274209,63.8495962153242,671.824259643372,500
"Philippines","PHL","Vitamin","Niacin","mg","Females",187.232987154562,16.3880705230192,1042.49561528044,500
"Philippines","PHL","Vitamin","Riboflavin","mg","Females",7.13148944498355,1.38532554111741,414.787985445737,414.787985445737
"Philippines","PHL","Vitamin","Thiamine","mg","Females",8.42368102978823,1.09677832553868,668.03861214626,500
"Philippines","PHL","Vitamin","Vitamin A (RAE)","mcg","Females",3357.98930407736,684.173514008596,390.809602435907,390.809602435907
"Philippines","PHL","Vitamin","Vitamin B12","mcg","Females",38.7533900066271,3.35213320800674,1056.08144431918,500
"Philippines","PHL","Vitamin","Vitamin C","mg","Females",487.551747192231,93.9478260955558,418.960115901282,418.960115901282
"Portugal","PRT","Fatty acid","Omega-3 fatty acids","g","Males",0.29780852515211,0.146918608452314,102.703066881259,102.703066881259
"Romania","ROU","Carotenoid","beta-Carotene","mcg","Males",4417.35889200684,2043.23916842227,116.193921899891,116.193921899891
"Romania","ROU","Mineral","Selenium","mg","Females",99.49370414444,37.8836496647899,162.629670121018,162.629670121018
"Romania","ROU","Mineral","Selenium","mg","Males",122.417701829621,43.8842467502094,178.955914468413,178.955914468413
"Romania","ROU","Vitamin","Vitamin K","mg","Females",191.413865479381,85.4684182820313,123.958591169603,123.958591169603
"Romania","ROU","Vitamin","Vitamin K","mg","Males",193.833407843646,84.9315500080892,128.223090035663,128.223090035663
"Sweden","SWE","Fatty acid","Omega-3 fatty acids","g","Females",0.364428880856696,0.120553296270334,202.296902806776,202.296902806776
"Sweden","SWE","Fatty acid","Omega-3 fatty acids","g","Males",0.37378431430853,0.146918608452314,154.415909765338,154.415909765338
"Uganda","UGA","Carotenoid","beta-Carotene","mcg","Females",18021.3406063504,2336.14340754426,671.414141278865,500
"Uganda","UGA","Other macronutrient","Carbohydrates","g","Females",463.470296454605,206.808498189279,124.106021035179,124.106021035179
"Uganda","UGA","Other macronutrient","Fiber","g","Females",51.6155129518448,17.2625210965854,199.003330180171,199.003330180171
"United States","USA","Mineral","Selenium","mg","Females",89.8745992414667,37.8836496647899,137.238492164071,137.238492164071
"United States","USA","Mineral","Selenium","mg","Males",121.029417066782,43.8842467502094,175.792399390346,175.792399390346
"United States","USA","Vitamin","Vitamin D","mcg","Females",70.2971920142153,3.29087775268625,2036.1228613501,500
"United States","USA","Vitamin","Vitamin D","mcg","Males",76.2838187446907,3.86527145728227,1873.56950443856,500
"Zambia","ZMB","Carotenoid","beta-Carotene","mcg","Females",7759.31121479286,2336.14340754426,232.141904890564,232.141904890564
"Zambia","ZMB","Other macronutrient","Fiber","g","Females",41.9915453222852,17.2625210965854,143.252680690953,143.252680690953
